meteogramma24h	rete	denominazione	idstazione	quota	provincia	altezza	frequenza	the_geom	gid	tipo_staz	meteo_tab	nometipologie	idsensori	utm_nord	utm_est
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=3&modalita=day > 3 </a>	4	SONDALO Le Prese	3	950	SO	0.0	10	0101000020787F000000000000A4702241000000C085955341	3	PT	Meteorologica	{"PP","T"}	{9,12}	5133847	604242
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=6&modalita=day > 6 </a>	2	BORMIO Ponte sul  Frodolfo	6	1250	SO	0.0	10	0101000020787F000000000000B07922410000008004A25341	6	PT	Meteorologica	{"PP","T"}	{11,13}	5146642	605400
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=8&modalita=day > 8 </a>	2	SPRIANA Ponte sul Mallero	8	645	SO	0.0	10	0101000020787F000000000000824A21410000000086865341	8	P	Pluviometrica	{"PP"}	{34}	5118488	566593
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=12&modalita=day > 12 </a>	2	VALDIDENTRO Arnoga	12	1880	SO	0.0	10	0101000020787F0000000000005A2B2241000000402CA15341	12	HPT	Meteorologica	{"PP","T","UR"}	{19,28,201}	5145777	595373
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=13&modalita=day > 13 </a>	2	VALDIDENTRO Cancano 	13	1948	SO	0.0	10	0101000020787F0000000000006E572241000000C04CA75341	13	HPTV	Meteorologica	{"PP","T","UR","DV","VV"}	{20,29,206,208,209}	5152051	601015
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=16&modalita=day > 16 </a>	2	VALFURVA Ghiacciaio dei Forni	16	2180	SO	0.0	10	0101000020787F00000000000004E8224100000040769D5341	16	PTV	Meteorologica	{"PP","T","DV","VV"}	{23,31,210,211}	5141977	619522
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=23&modalita=day > 23 </a>	2	CHIESA IN VALMALENCO S.Giuseppe	23	1428	SO	0.0	10	0101000020787F000000000000063521410000000054905341	23	P	Pluviometrica	{"PP"}	{35}	5128528	563843
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=26&modalita=day > 26 </a>	2	TORRE DI SANTA MARIA Val  Torreggio - Zona B	26	1275	SO	0.0	10	0101000020787F0000000000003034214100000040BF885341	26	B	Meteorologica	{"PA"}	{1378}	5120765	563736
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=27&modalita=day > 27 </a>	2	CHIESA IN VALMALENCO Alpe dell  Oro	27	2040	SO	0.0	10	0101000020787F0000000000002E0D214100000000D0915341	27	PT	Meteorologica	{"PP","T"}	{40,1346}	5130048	558743
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=28&modalita=day > 28 </a>	2	CHIESA IN VALMALENCO Alpe Entova	28	1905	SO	0.0	10	0101000020787F000000000000EA37214100000080DC915341	28	PT	Meteorologica	{"PP","T"}	{41,53}	5130098	564213
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=29&modalita=day > 29 </a>	2	CHIESA IN VALMALENCO Funivia Bernina	29	2014	SO	0.0	10	0101000020787F000000000000324A214100000080A38E5341	29	PT	Meteorologica	{"PP","T"}	{42,54}	5126798	566553
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=30&modalita=day > 30 </a>	2	LANZADA Campo Moro	30	1970	SO	0.0	10	0101000020787F0000000000003E702141000000803D905341	30	P	Pluviometrica	{"PP"}	{43}	5128438	571423
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=33&modalita=day > 33 </a>	4	LANZADA Ganda	33	988	SO	0.0	10	0101000020787F000000000000B456214100000000598C5341	33	PT	Meteorologica	{"PP","T"}	{46,56}	5124452	568154
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=35&modalita=day > 35 </a>	2	CASPOGGIO NA	35	1719	SO	0.0	10	0101000020787F000000000000284F214100000080258A5341	35	BPTV	Meteorologica	{"PP","T","PA","VV","DV"}	{48,58,130,131,132}	5122198	567188
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=45&modalita=day > 45 </a>	2	VALFURVA Ruinon - RTU 206	45	2140	SO	0.0	10	0101000020787F000000000000DCAF2241000000C0C49F5341	45	T	Meteorologica	{"T"}	{83}	5144339	612334
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=46&modalita=day > 46 </a>	2	VALDIDENTRO Monte Trela	46	2300	SO	0.0	10	0101000020787F000000000000C0392241000000808CA55341	46	B	Meteorologica	{"PA"}	{128}	5150258	597216
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=49&modalita=day > 49 </a>	2	MORBEGNO ponte ferroviario	49	242	SO	0.0	10	0101000020787F000000000000B0952041000000409D7D5341	49	HPT	Meteorologica	{"T","PP","UR"}	{90,91,17359}	5109365	543448
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=51&modalita=day > 51 </a>	2	TIRANO Madonna di Tirano	51	438	SO	0.0	10	0101000020787F0000000000001EF9214100000080D7865341	51	PT	Meteorologica	{"T","PP"}	{96,97}	5118814	588943
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=52&modalita=day > 52 </a>	2	GROSIO NA	52	1220	SO	0.0	10	0101000020787F000000000000882F224100000040E1925341	52	PT	Meteorologica	{"T","PP"}	{99,100}	5131141	595908
<a target=_blank href=http://meteo.arpalombardia.it/mappe/Meteogrammi.php?idStazione=53&modalita=day > 53 </a>	2	PIAZZA BREMBANA Ponte dei Fondi	53	485	BG	0.0	10	0101000020787F00000000000046D62041000000C014695341	53	PT	Meteorologica	{"T","PP"}	{102,103}	5088339	551715
