id_stazione	data_e_ora	id_sensore	id_parametro	valore_originale	tipologia_validaz	flag_validaz_autom	flag_gestore_sistema	data_agg	frequenza	altezza
1545	2019-02-19 01:30:00	14716	DV	3.0	OK	??	??	2019-02-19 01:40:00	10	6.0
1545	2019-02-19 01:30:00	14717	VV	2.8	OK	??	??	2019-02-19 01:40:00	10	6.0
1545	2019-02-19 01:30:00	14725	T	2.9	OK	??	??	2019-02-19 01:40:00	10	0.0
1545	2019-02-19 01:30:00	14728	UR	64.0	OK	??	??	2019-02-19 01:40:00	10	0.0
857	2019-02-19 01:30:00	14733	DV	234.0	OK	??	??	2019-02-19 01:40:00	10	10.0
857	2019-02-19 01:30:00	14734	VV	7.0	OK	??	??	2019-02-19 01:40:00	10	10.0
1546	2019-02-19 01:30:00	14742	T	4.9	OK	??	??	2019-02-19 01:40:00	10	0.0
1546	2019-02-19 01:30:00	14745	UR	87.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1547	2019-02-19 01:30:00	14750	DV	22.0	OK	??	??	2019-02-19 01:40:00	10	8.0
1547	2019-02-19 01:30:00	14751	VV	1.1	OK	??	??	2019-02-19 01:40:00	10	8.0
1553	2019-02-19 01:30:00	14766	T	5.3	OK	??	??	2019-02-19 01:40:00	10	0.0
1553	2019-02-19 01:30:00	14769	UR	85.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1553	2019-02-19 01:30:00	14774	DV	323.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1553	2019-02-19 01:30:00	14775	VV	3.3	OK	??	??	2019-02-19 01:40:00	10	0.0
49	2019-02-19 01:20:00	17359	UR	67.8	OK	??	??	2019-02-19 01:40:00	10	0.0
49	2019-02-19 01:30:00	17359	UR	69.8	OK	??	??	2019-02-19 01:40:00	10	0.0
1862	2019-02-19 01:30:00	17418	VV	0.6	OK	??	??	2019-02-19 01:40:00	10	0.0
1862	2019-02-19 01:30:00	17419	DV	112.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1862	2019-02-19 01:30:00	17429	RG	0.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1862	2019-02-19 01:30:00	17432	T	0.9	OK	??	??	2019-02-19 01:40:00	10	0.0
1862	2019-02-19 01:30:00	17435	UR	94.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1692	2019-02-19 01:30:00	17443	T	4.3	OK	??	??	2019-02-19 01:40:00	10	0.0
1679	2019-02-19 01:30:00	17473	RG	0.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1545	2019-02-19 01:30:00	17475	RG	0.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1420	2019-02-19 01:30:00	17476	RG	0.0	OK	??	??	2019-02-19 01:40:00	10	0.0
857	2019-02-19 01:30:00	17477	RG	0.0	OK	??	??	2019-02-19 01:40:00	10	0.0
141	2019-02-19 01:30:00	17515	TP	10.0	OK	??	??	2019-02-19 01:40:00	10	0.0
134	2019-02-19 01:30:00	17522	TP	10.0	OK	??	??	2019-02-19 01:40:00	10	0.0
874	2019-02-19 01:30:00	17527	RG	0.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1877	2019-02-19 01:30:00	17552	T	1.8	OK	??	??	2019-02-19 01:40:00	10	0.0
1879	2019-02-19 01:30:00	17562	T	0.9	OK	??	??	2019-02-19 01:40:00	10	0.0
1879	2019-02-19 01:30:00	17565	RG	0.0	OK	??	??	2019-02-19 01:40:00	10	0.0
503	2019-02-19 01:30:00	19005	VV	0.7	OK	??	??	2019-02-19 01:40:00	10	22.0
620	2019-02-19 01:40:00	19008	VV	1.0	OK	??	??	2019-02-19 01:40:00	10	22.0
559	2019-02-19 01:20:00	19011	VV	0.9	OK	??	??	2019-02-19 01:40:00	10	10.0
559	2019-02-19 01:30:00	19011	VV	0.8	OK	??	??	2019-02-19 01:40:00	10	10.0
614	2019-02-19 01:30:00	19014	VV	1.1	OK	??	??	2019-02-19 01:40:00	10	12.0
501	2019-02-19 01:40:00	19020	VV	0.5	OK	??	??	2019-02-19 01:40:00	10	23.0
554	2019-02-19 01:30:00	19056	VV	0.7	OK	??	??	2019-02-19 01:40:00	10	12.0
525	2019-02-19 01:40:00	19059	VV	0.5	OK	??	??	2019-02-19 01:40:00	10	15.0
535	2019-02-19 01:30:00	19062	VV	0.5	OK	??	??	2019-02-19 01:40:00	10	12.0
646	2019-02-19 01:50:00	19065	VV	0.3	OK	??	??	2019-02-19 01:40:00	10	19.5
874	2019-02-19 01:30:00	32236	VV	1.2	OK	??	??	2019-02-19 01:40:00	10	0.0
874	2019-02-19 01:30:00	32237	DV	312.0	OK	??	??	2019-02-19 01:40:00	10	0.0
832	2019-02-19 01:30:00	32259	UR	19.0	OK	??	??	2019-02-19 01:40:00	10	0.0
833	2019-02-19 01:30:00	32262	UR	33.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1359	2019-02-19 01:30:00	32342	PA	760.8	OK	??	??	2019-02-19 01:40:00	10	0.0
833	2019-02-19 01:30:00	32362	PA	813.7	OK	??	??	2019-02-19 01:40:00	10	0.0
832	2019-02-19 01:20:00	32365	PA	786.2	OK	??	??	2019-02-19 01:40:00	10	0.0
1679	2019-02-19 01:30:00	32370	T	3.3	OK	??	??	2019-02-19 01:40:00	10	0.0
1679	2019-02-19 01:30:00	32373	UR	50.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1679	2019-02-19 01:30:00	32376	VV	0.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1680	2019-02-19 01:30:00	32400	PA	815.3	OK	??	??	2019-02-19 01:40:00	10	0.0
1367	2019-02-19 01:30:00	14478	T	1.8	OK	??	??	2019-02-19 01:40:00	10	1.7
1371	2019-02-19 01:30:00	14500	T	0.8	OK	??	??	2019-02-19 01:40:00	10	0.0
1371	2019-02-19 01:30:00	14501	UR	95.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1371	2019-02-19 01:30:00	14502	DV	317.0	OK	??	??	2019-02-19 01:40:00	10	10.0
1371	2019-02-19 01:30:00	14503	VV	1.1	OK	??	??	2019-02-19 01:40:00	10	10.0
1372	2019-02-19 01:30:00	14518	T	6.2	OK	??	??	2019-02-19 01:40:00	10	0.0
1372	2019-02-19 01:30:00	14519	UR	58.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1375	2019-02-19 01:30:00	14528	T	-3.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1375	2019-02-19 01:30:00	14529	UR	100.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1375	2019-02-19 01:30:00	14530	DV	159.0	OK	??	??	2019-02-19 01:40:00	10	10.0
1375	2019-02-19 01:30:00	14531	VV	0.0	OK	??	??	2019-02-19 01:40:00	10	10.0
1376	2019-02-19 01:30:00	14546	T	4.4	OK	??	??	2019-02-19 01:40:00	10	0.0
1376	2019-02-19 01:30:00	14547	UR	88.0	OK	??	??	2019-02-19 01:40:00	10	0.0
1376	2019-02-19 01:30:00	14548	DV	317.0	OK	??	??	2019-02-19 01:40:00	10	10.0
1376	2019-02-19 01:30:00	14549	VV	0.3	OK	??	??	2019-02-19 01:40:00	10	10.0
1376	2019-02-19 01:30:00	14562	PA	987.9	OK	??	??	2019-02-19 01:40:00	10	0.0
